0x34,"PERSONAL DATA [1/1]

CODENAME:THE BOSS
SEX:FEMALE
AGE:UNKNOWN
NATIONALITY:U.S.A
BIRTHDATE:UNKNOWN
BIRTHPLACE:UNKNOWN
ADDRESS:UNKNOWN
","PERSONAL DATA [1/1]

CODENAME:THE BOSS
SEX:FEMALE
AGE:UNKNOWN
NATIONALITY:U.S.A
BIRTHDATE:UNKNOWN
BIRTHPLACE:UNKNOWN
ADDRESS:UNKNOWN
"
0xba,"PERSONAL DATA [1/2]

CODENAME:THE BOSS
SEX:FEMALE
AGE:UNKNOWN
NATIONALITY:U.S.A
BIRTHDATE:UNKNOWN
BIRTHPLACE:UNKNOWN
ADDRESS:UNKNOWN
","PERSONAL DATA [1/2]

CODENAME:THE BOSS
SEX:FEMALE
AGE:UNKNOWN
NATIONALITY:U.S.A
BIRTHDATE:UNKNOWN
BIRTHPLACE:UNKNOWN
ADDRESS:UNKNOWN
"
0x140,"PERSONAL DATA [2/2]

HEIGHT:5% 10~
WEIGHT:UNKNOWN
HAIR:BROWNISH GREY
EYE:BLUE
VOICE:LORI ALAN
MTN ACTR:ERIKO HIRATA
BLOOD TYPE:UNKNOWN
","PERSONAL DATA [2/2]

HEIGHT:5% 10~
WEIGHT:UNKNOWN
HAIR:BROWNISH GREY
EYE:BLUE
VOICE:LORI ALAN
MTN ACTR:ERIKO HIRATA
BLOOD TYPE:UNKNOWN
"
0x1c8,"Drücke die CQC-Taste einmal, um einen
Boxhieb zu landen.
","Drücke die CQC-Taste einmal, um einen
Boxhieb zu landen.
"
0x203,"Durch mehrmaliges Drücken der Taste
hintereinander führst du einen Combo-Angriff
aus.
","Durch mehrmaliges Drücken der Taste
hintereinander führst du einen Combo-Angriff
aus.
"
0x25c,"Doch deinen Gegner zu schlagen ist nur ein
Aspekt des CQC.
","Doch deinen Gegner zu schlagen ist nur ein
Aspekt des CQC.
"
0x298,"Wirksam wird er erst, wenn du den Gegner
fest im Griff hast.
","Wirksam wird er erst, wenn du den Gegner
fest im Griff hast.
"
0x2d6,"Halte die CQC-Taste gedrückt, um den Gegner
mit der rechten Hand zu fassen.
","Halte die CQC-Taste gedrückt, um den Gegner
mit der rechten Hand zu fassen.
"
0x324,"Dann kannst du ihn mit dem linken
Analog-Stick aus dem Gleichgewicht bringen
und auf den Boden werfen.
","Dann kannst du ihn mit dem linken
Analog-Stick aus dem Gleichgewicht bringen
und auf den Boden werfen.
"
0x38c,"So erledigst du den Gegner mit einem Schlag.
","So erledigst du den Gegner mit einem Schlag.
"
0x3ba,"Wenn du den linken Analog-Stick nicht drückst,
","Wenn du den linken Analog-Stick nicht drückst,
"
0x3eb,"ring mit dem Gegner, bis du hinter ihm stehst
und ihn mit dem Messer in Schach halten
kannst.
","ring mit dem Gegner, bis du hinter ihm stehst
und ihn mit dem Messer in Schach halten
kannst.
"
