Start Time,End Time,Lang ID,Text
501,1420,[SPA],"Sí. Groznyj Grad y la planta de
investigación de Granin"
501,1420,[ITA],"Sì. Groznyj Grad e l'impianto di ricerca di
Granin"
501,1420,[GER],"Ja. Groznyj Grad und das
Granin-Forschungslabor"
501,1420,[FRE],"Oui. Groznyj Grad et le laboratoire de
recherche de Granin"
501,1420,[ENG],Yes. Groznyj Grad and the Granin|research facility
1421,2298,[SPA],han sido destruidas sin dejar rastro...
1421,2298,[ITA],sono stati eliminati senza traccia...
1421,2298,[GER],wurden völlig zerstört ...
1421,2298,[FRE],ont été rasés...
1421,2298,[ENG],have both been wiped out|without a trace...
2786,4109,[SPA],"Lo entiendo señor. Pero han sido
sacrificios necesarios..."
2786,4109,[ITA],"Capisco, signore. Ma sono stati sacrifici
necessari..."
2786,4109,[GER],"Das weiß ich, Sir. Aber es waren
notwendige Opfer ..."
2786,4109,[FRE],"Je comprends, Monsieur. Mais ces
sacrifices étaient nécessaires..."
2786,4109,[ENG],"I understand, sir. But they were|necessary sacrifices..."
4681,5920,[SPA],"Sí, la CIA se ha ocupado de The Boss..."
4681,5920,[ITA],Sì. La CIA si è occupata di The Boss...
4681,5920,[GER],"Ja, die CIA hat The Boss selbst
übernommen ..."
4681,5920,[FRE],"Oui, la CIA a réglé son sort à The Boss..."
4681,5920,[ENG],"Yes, the CIA has taken care of|The Boss themselves..."
6673,7494,[SPA],"Creo que la Casa Blanca estará
satisfecha."
6673,7494,[ITA],"Credo che la Casa Bianca sarà
soddisfatta."
6673,7494,[GER],Das Weiße Haus dürfte zufrieden sein.
6673,7494,[FRE],"Je crois que la Maison Blanche sera
satisfaite."
6673,7494,[ENG],I believe the White House will be|satisfied.
8024,8567,[SPA],Kruschev está acabado.
8024,8567,[ITA],Krusciov è finito.
8024,8567,[GER],Chruschtschow ist erledigt.
8024,8567,[FRE],C'est la fin de Khrouchtchev.
8024,8567,[ENG],Khrushchev is finished.
8665,9361,[SPA],Y a llegado por fin tu hora...
8665,9361,[ITA],Finalmente è arrivato il Suo momento...
8665,9361,[GER],Deine Zeit ist endlich gekommen.
8665,9361,[FRE],"A vous maintenant de prendre les
commandes..."
8665,9361,[ENG],Your time has finally arrived...  
10337,11326,[SPA],... Sí. El Presidente Americano confía
10337,11326,[ITA],"...Sì. Il Presidente americano conta su di
noi"
10337,11326,[GER],"... Ja. Der US-Präsident verlässt sich auf
uns:"
10337,11326,[FRE],"...Oui. Le Président américain compte sur
nous"
10337,11326,[ENG],...Yes. The American President is|relying on us
11326,11939,[SPA],en que nosotros guardemos silencio.
11326,11939,[ITA],perché teniamo tutto in segreto.
11326,11939,[GER],"Wir sollen die ganze Angelegenheit
vertuschen."
11326,11939,[FRE],pour que nous gardions tout ça secret.
11326,11939,[ENG],to keep a lid on the whole affair.
11953,12607,[SPA],"Ahora podemos hacer con él lo que
queramos,"
11953,12607,[ITA],Lo teniamo in pugno.
11953,12607,[GER],Damit haben wir ihn in der Hand.
11953,12607,[FRE],On le tient par les couilles.
11953,12607,[ENG],We've got him by the balls.
12636,13764,[SPA],"nos vendrá muy bien en futuras
negociaciones."
12636,13764,[ITA],"Sarà un prezioso asso nella manica per i
negoziati futuri."
12636,13764,[GER],"Das wird uns in künftigen Verhandlungen
gelegen kommen."
12636,13764,[FRE],"Il sera certainement un atout très utile
pour les négociations futures."
12636,13764,[ENG],It should make a valuable trump card|in future negotiations.
14628,15296,[SPA],"Sí, Señor Director. Por supuesto,"
14628,15296,[ITA],"Sì, Direttore Capo. Certo."
14628,15296,[GER],"Ja, Chef. Natürlich."
14628,15296,[FRE],"Oui, M. le Directeur en Chef."
14628,15296,[ENG],"Yes, Chief Director. Of course."
15297,15896,[SPA],mantendré informada a la KGB...
15297,15896,[ITA],Terrò informato il KGB...
15297,15896,[GER],Ich halte die CIA auf dem Laufenden ...
15297,15896,[FRE],Je tiendrai le KGB au courant...
15297,15896,[ENG],I'll keep the KGB informed...
21301,21732,[SPA],"Sí, soy yo."
21301,21732,[ITA],"Sì, sono io."
21301,21732,[GER],"Ja, ich bin's."
21301,21732,[FRE],"Oui, c'est moi."
21301,21732,[ENG],"Yes, it's me."
22736,23502,[SPA],The Boss ha llevado a cabo su misión.
22736,23502,[ITA],The Boss ha compiuto la sua missione.
22736,23502,[GER],The Boss hat ihren Einsatz ausgeführt.
22736,23502,[FRE],The Boss a accompli sa mission.
22736,23502,[ENG],The Boss has accomplished her mission.
24004,24979,[SPA],"El Legado de los Filósofos está ahora en
nuestras manos..."
24004,24979,[ITA],"Ora l'Eredità dei Filosofi è al sicuro in
mano nostra..."
24004,24979,[GER],"Das Erbe der Philosophen ist jetzt bei uns
sicher ..."
24004,24979,[FRE],"L'Héritage des Philosophes est désormais
entre nos mains..."
24004,24979,[ENG],The Philosophers' Legacy is now|safely with us...
24980,25495,[SPA],con los americanos.
24980,25495,[ITA],in mano all'America...
24980,25495,[GER],... in Amerikas Händen ...
24980,25495,[FRE],entre les mains de l'Amérique...
24980,25495,[ENG],...in America's hands...
26428,27793,[SPA],"Con este dinero... sí, los Filósofos podrán
por fin revivir."
26428,27793,[ITA],"Con questo denaro...sì, i Filosofi potranno
finalmente ricostituirsi."
26428,27793,[GER],"Mit diesem Geld ... können die
Philosophen wieder auferstehen!"
26428,27793,[FRE],"Avec cet argent... oui, on pourra faire
revivre les Philosophes."
26428,27793,[ENG],"With this money... yes, the Philosophers|can finally be revived."
28936,29799,[SPA],El film que le dimos a la china era falso...
28936,29799,[ITA],"La pellicola che abbiamo consegnato ai
cinesi era un falso..."
28936,29799,[GER],"Der Film, den wir zu den Chinesen
schmuggelten, war eine Fälschung ..."
28936,29799,[FRE],"Nous avons donné un faux microfilm aux
Chinois."
28936,29799,[ENG],The film we handed to the Chinese|was a fake...
30134,31011,[SPA],"Pekín tiene que estar ahora echando
chispas."
30134,31011,[ITA],"In questo momento Pechino sarà in
subbuglio."
30134,31011,[GER],"Ganz Peking ist sicher gerade darüber
aufgebracht."
30134,31011,[FRE],"Pékin doit sûrement être dans une
colère bleue."
30134,31011,[ENG],Peking must be in an uproar|right about now.
31820,32307,[SPA],... Me temo que sí.
31820,32307,[ITA],...Temo di sì.
31820,32307,[GER],"... Ja, leider."
31820,32307,[FRE],...J'en ai bien peur.
31820,32307,[ENG],...I'm afraid so.
32322,33352,[SPA],"Sólo la mitad del dinero ha podido volver a
los Estados Unidos."
32322,33352,[ITA],"Solo metà del denaro è tornata agli Stati
Uniti..."
32322,33352,[GER],"Nur die Hälfte des Geldes wurde zurück in
die Staaten transferiert ..."
32322,33352,[FRE],"Seule la moitié de cet argent est retourné
aux Etats-Unis..."
32322,33352,[ENG],Only half of the money has made|it back to the United States...
33938,34829,[SPA],"La KGB tiene que tener todavía parte del
Legado..."
33938,34829,[ITA],"Il KGB deve avere ancora la parte
dell'Eredità..."
33938,34829,[GER],"Sicher hat der KGB bei dem Erbe noch
seine Hände im Spiel ..."
33938,34829,[FRE],"Le KGB doit toujours posséder une partie
de cet Héritage..."
33938,34829,[ENG],The KGB must still have part of|the Legacy...
35540,36598,[SPA],"Sí, las armas no son ya más que un
puñado de cenizas..."
35540,36598,[ITA],"Sì, l'arma è stata ridotta in cenere..."
35540,36598,[GER],"Ja, die Waffen sind zu Staub zerfallen ..."
35540,36598,[FRE],"Oui, les armes ont été réduites à néant..."
35540,36598,[ENG],"Yes, the weapon has been reduced|to ashes..."
37295,37685,[SPA],Así es.
37295,37685,[ITA],Esattamente.
37295,37685,[GER],Das ist richtig.
37295,37685,[FRE],C'est exact.
37295,37685,[ENG],That's right.
37741,38632,[SPA],"Groznyj Grad ha sido eliminada por el
Davy Crockett"
37741,38632,[ITA],"Groznyj Grad è stata spazzata via dal
Davy Crockett"
37741,38632,[GER],"Groznyj Grad wurde von der Davy Crockett
zerstört,"
37741,38632,[FRE],"Groznyj Grad a bien été rayée de la carte
par le Davy Crockett"
37741,38632,[ENG],Groznyj Grad has been obliterated|by the Davy Crockett
38633,39092,[SPA],que nosotros llevamos...
38633,39092,[ITA],che abbiamo portato...
38633,39092,[GER],die wir ebenfalls mitbrachten ...
38633,39092,[FRE],que nous avions amené...
38633,39092,[ENG],we brought in as well...
39789,40750,[SPA],"Sí, también lo hizo The Boss..."
39789,40750,[ITA],"Sì, anche quella è stata opera di The
Boss..."
39789,40750,[GER],"Ja, auch das war die Arbeit von The
Boss ..."
39789,40750,[FRE],"Oui, c'était également le travail de The
Boss..."
39789,40750,[ENG],"Yes, that was The Boss' work, too..."
41447,41837,[SPA],"y hablando de armas,"
41447,41837,[ITA],"A proposito,"
41447,41837,[GER],"Apropos,"
41447,41837,[FRE],"En parlant de ça,"
41447,41837,[ENG],"Speaking of which,"
41837,42937,[SPA],"he conseguido algo de Granin que parece
interesante."
41837,42937,[ITA],"ho ottenuto qualcosa da Granin che
potrebbe trovare interessante."
41837,42937,[GER],"ich habe etwas von Granin, was Sie
interessieren könnte."
41837,42937,[FRE],"j'ai obtenu quelque chose de Granin qui
pourrait vous intéresser."
41837,42937,[ENG],I've obtained something from Granin|that you might find interesting.
42938,43982,[SPA],"Es un sistema revolucionario de
armamento nuclear."
42938,43982,[ITA],"È un nuovo sistema di attacco nucleare
rivoluzionario."
42938,43982,[GER],"Ein revolutionäres, nukleares
Angriffssystem."
42938,43982,[FRE],"Un nouveau système d'attaque nucléaire
révolutionnaire..."
42938,43982,[ENG],It's a revolutionary new nuclear|attack system.
43997,44763,[SPA],Igual nos puede ser útil algún día...
43997,44763,[ITA],Forse un giorno potrà esserci utile...
43997,44763,[GER],"Vielleicht wird es eines Tages nützlich
sein ..."
43997,44763,[FRE],"Ça sera peut-être utile, un jour..."
43997,44763,[ENG],Perhaps it might just come in handy|some day...
45641,46811,[SPA],"...Sí, eso se lo debemos a John, quiero
decir Snake."
45641,46811,[ITA],"...Sì. Per quello dobbiamo ringraziare
John, voglio dire Snake."
45641,46811,[GER],"... Ja. Wir haben es John - ich meine:
Snake - zu verdanken."
45641,46811,[FRE],"...Oui. On a John - enfin, je veux dire
Snake - merci."
45641,46811,[ENG],"...Yes. We have John - I mean, Snake -|to thank for that."
46839,47493,[SPA],Kruschev también se lo creyó...
46839,47493,[ITA],Anche Krusciov ci ha creduto. ...
46839,47493,[GER],Chruschtschow glaubte es ebenfalls ...
46839,47493,[FRE],"Khrouchtchev a également cru à cette
histoire."
46839,47493,[ENG],Khrushchev believed it as well.
48302,48942,[SPA],"Sí, se tragaron nuestra historia,"
48302,48942,[ITA],"Sì, si sono bevuti la nostra storia."
48302,48942,[GER],"Ja, sie nahmen uns unsere Geschichte ab."
48302,48942,[FRE],"...Oui, ils ont tout gobé."
48302,48942,[ENG],"...Yes, they bought our story."
49012,49680,[SPA],no creo que nos den guerra.
49012,49680,[ITA],Non penso che faranno problemi.
49012,49680,[GER],"Ich glaube kaum, dass sie Ärger machen
werden."
49012,49680,[FRE],On n'a plus à se soucier d'eux.
49012,49680,[ENG],I don't think they'll be making a fuss.
50573,51450,[SPA],"Se ha levantado incluso el estado de alerta
secundaria."
50573,51450,[ITA],È stata tolta anche l'allerta secondaria.
50573,51450,[GER],"Auch die sekundäre Alarmbereitschaft
wurde aufgehoben."
50573,51450,[FRE],L'alerte orange a également été levée.
50573,51450,[ENG],The secondary alert has been lifted|as well. 
51520,52704,[SPA],"Y los soviéticos todavía no han
descubierto mi verdadera identidad."
51520,52704,[ITA],"E i sovietici non hanno ancora scoperto la
mia vera identità."
51520,52704,[GER],"Und die Sowjets haben meine Identität
noch immer nicht enthüllt."
51520,52704,[FRE],"Et les Soviétiques n'ont toujours pas
découvert ma vraie identité."
51520,52704,[ENG],And the Soviets still haven't discovered|my true identity.
52788,53818,[SPA],No saben que he jugado a tres bandas...
52788,53818,[ITA],"Non hanno la minima idea che ho fatto il
triplo gioco..."
52788,53818,[GER],"Sie haben keine Ahnung, dass ich sie
dreifach betrogen habe ..."
52788,53818,[FRE],"Ils ne savent absolument pas que je les ai
trahis..."
52788,53818,[ENG],They have no idea that I've been|triple-crossing them...
54501,55671,[SPA],"Seguiré mis actividades como contacto
para el nuevo gobierno."
