Start Time,End Time,Lang ID,Text
891,1476,[SPA],"He perdido a los Cobras,"
891,1476,[ITA],"Ho perso i Cobra,"
891,1476,[GER],"Die Cobras habe ich verloren,"
891,1476,[FRE],"J'ai perdu les Cobras,"
891,1476,[ENG],"I have lost the Cobras,"
1476,2548,[SPA],"pero todavía tenemos el Shagohod y el
Legado."
1476,2548,[ITA],ma ho ancora lo Shagohod e l'Eredità.
1476,2548,[GER],"aber mir bleiben der Shagohod und das
Erbe."
1476,2548,[FRE],"mais j'ai toujours le Shagohod et
l'Héritage."
1476,2548,[ENG],but I still have the Shagohod|and the Legacy.
2563,3802,[SPA],"¡Y América no puede hacer nada para
detenernos!"
2563,3802,[ITA],"L'America non può fare niente per
fermarci!"
2563,3802,[GER],Amerika wird uns nicht aufhalten können!
2563,3802,[FRE],"L'Amérique ne peut rien faire pour nous
arrêter!"
2563,3802,[ENG],There is nothing America can do|to stop us!
4277,5266,[SPA],"Boss, lleva esto a algún sitio seguro."
4277,5266,[ITA],"The Boss, metta questo in un posto sicuro."
4277,5266,[GER],"The Boss, bringen Sie das hier an einen
sicheren Ort."
4277,5266,[FRE],"The Boss, emmène ça en lieu sûr."
4277,5266,[ENG],"Boss, take this someplace safe."
9640,10169,[SPA],Cuídalo bien.
9640,10169,[ITA],Mi raccomando.
9640,10169,[GER],Passen Sie gut darauf auf.
9640,10169,[FRE],Prends-en bien soin.
9640,10169,[ENG],Take good care of it.
11758,12984,[SPA],"No hubiera vuelto aquí si no tuviera una
razón de peso."
11758,12984,[ITA],"Lui non sarebbe tornato qui senza problemi
se non avesse un buon motivo."
11758,12984,[GER],"Grundlos wäre er nicht hierher
zurückgekehrt."
11758,12984,[FRE],"Il ne serait pas venu jusqu'ici s'il n'avait
pas une bonne raison."
11758,12984,[ENG],He wouldn't have come waltzing back|in here unless he had a reason.
13068,13764,[SPA],Han robado el C3.
13068,13764,[ITA],Il C3 è stato rubato.
13068,13764,[GER],Es wurde C3 gestohlen.
13068,13764,[FRE],On a volé le C3.
13068,13764,[ENG],The C3's been stolen.
13890,14767,[SPA],"Creo que están planeando algún tipo de
sabotaje."
13890,14767,[ITA],"Starà architettando qualche atto di
sabotaggio."
13890,14767,[GER],Er plant sicher Sabotage.
13890,14767,[FRE],Je suis sûre qu'il prépare un sabotage.
13890,14767,[ENG],He must be planning some sort|of sabotage.
15227,16244,[SPA],"Voy a ver si hay alguna sorpresilla por
ahí..."
15227,16244,[ITA],"Vado a vedere se ci aspettano delle
sorprese."
15227,16244,[GER],"Ich schaue mal, ob da irgendwelche
Überraschungen auf uns warten."
15227,16244,[FRE],"Je vais aller voir s'il ne nous a pas préparé
des petites surprises."
15227,16244,[ENG],I'll go see if there are any surprises|waiting for us.
16788,17554,[SPA],Yo me ocuparé también de ella.
16788,17554,[ITA],Eliminerò pure lei.
16788,17554,[GER],Ich erledige sie auch.
16788,17554,[FRE],Je vais aussi nous débarrasser d'elle.
16788,17554,[ENG],I'll dispose of her as well.
19337,20019,[SPA],Yo me ocupo de todo.
19337,20019,[ITA],Lascia fare a me.
19337,20019,[GER],Überlassen Sie nur alles mir.
19337,20019,[FRE],Je m'occupe de tout.
19337,20019,[ENG],Leave everything to me.
25300,26275,[SPA],"Lucha como un guerrero, Volgin."
25300,26275,[ITA],"Combatta da guerriero, Volgin."
25300,26275,[GER],"Kämpfen Sie wie ein Krieger, Volgin."
