Start Time,End Time,Lang ID,Text
0,654,[ENG],To the Weapons Lab|Main Wing...
0,654,[FRE],"Dans l'aile principale du
laboratoire d'armes..."
0,654,[GER],"Zum Hauptflügel des
Waffenlabors ..."
0,654,[ITA],"Per l'ala principale del
laboratorio delle armi..."
0,654,[SPA],"En el laboratorio de armas
del ala principal..."
654,1462,[ENG],there's a truck carrying|goods... 
654,1462,[FRE],"un camion transporte des
marchandises..."
654,1462,[GER],ein Lkw mit Waren ...
654,1462,[ITA],"c'è un camion che trasporta
le merci..."
654,1462,[SPA],"hay un camión que lleva
objetos..."
