0x2f30,"Eccezionale recupero di vigore.
","Eccezionale recupero di vigore.
"
0x2f51,"Grande recupero di vigore.
","Grande recupero di vigore.
"
0x2f6d,"Ottimo recupero di vigore.
","Ottimo recupero di vigore.
"
0x2f89,"Buon recupero di vigore.
","Buon recupero di vigore.
"
0x2fa3,"Discreto recupero di vigore.
","Discreto recupero di vigore.
"
0x2fc1,"Moderato recupero di vigore.
","Moderato recupero di vigore.
"
0x2fdf,"Limitato recupero di vigore.
","Limitato recupero di vigore.
"
0x2ffd,"Scarso recupero di vigore.
","Scarso recupero di vigore.
"
0x3019,"Leggero recupero di vigore.
","Leggero recupero di vigore.
"
0x3036,"Grande recupero di vigore di EVA.
","Grande recupero di vigore di EVA.
"
0x3059,"Ottimo recupero di vigore di EVA.
","Ottimo recupero di vigore di EVA.
"
0x307c,"Eccezionale recupero di vigore di EVA.
","Eccezionale recupero di vigore di EVA.
"
0x30a4,"Discreto recupero di vigore di EVA.
","Discreto recupero di vigore di EVA.
"
0x30c9,"Moderato recupero di vigore di EVA.
","Moderato recupero di vigore di EVA.
"
0x30ee,"Buon recupero di vigore di EVA.
","Buon recupero di vigore di EVA.
"
0x310f,"Scarso recupero di vigore di EVA.
","Scarso recupero di vigore di EVA.
"
0x3132,"Leggero recupero di vigore di EVA.
","Leggero recupero di vigore di EVA.
"
0x3156,"Limitato recupero di vigore di EVA.
","Limitato recupero di vigore di EVA.
"
0x317b,"Crollata per intossicazione.
","Crollata per intossicazione.
"
0x3199,"Cibo avariato. Inizia a dolere lo stomaco.
","Cibo avariato. Inizia a dolere lo stomaco.
"
0x31c5,"Batterie ricaricate.
","Batterie ricaricate.
"
0x31db,"Ha avuto sonno.
","Ha avuto sonno.
"
0x31ec,"Non ha fame.
","Non ha fame.
"
0x31fa,"EVA è crollata per intossicazione.
","EVA è crollata per intossicazione.
"
0x321f,"Sembra che fosse avariato.
Sembra che EVA abbia il mal di stomaco.
","Sembra che fosse avariato.
Sembra che EVA abbia il mal di stomaco.
"
0x3263,"EVA sembra assonnata.
","EVA sembra assonnata.
"
0x327a,"EVA non sembra affamata.
","EVA non sembra affamata.
"
0x3294,"Pitone reticolato:
Non ancora mangiato. Sapore sconosciuto.
","Pitone reticolato:
Non ancora mangiato. Sapore sconosciuto.
"
0x32d1,"Pitone reticolato:
Non ancora mangiato. Pare sia abbastanza saporito.
","Pitone reticolato:
Non ancora mangiato. Pare sia abbastanza saporito.
"
0x3318,"Pitone reticolato:
Abbastanza saporito.
","Pitone reticolato:
Abbastanza saporito.
"
0x3341,"Pitone reticolato catturato vivo:
Non ancora mangiato. Sapore sconosciuto.
","Pitone reticolato catturato vivo:
Non ancora mangiato. Sapore sconosciuto.
"
0x338d,"Pitone reticolato catturato vivo:
Non ancora mangiato. Pare sia abbastanza saporito.
","Pitone reticolato catturato vivo:
Non ancora mangiato. Pare sia abbastanza saporito.
"
0x33e3,"Pitone reticolato catturato vivo:
Abbastanza saporito.
","Pitone reticolato catturato vivo:
Abbastanza saporito.
"
0x341b,"Anaconda gigante:
Non ancora mangiato. Sapore sconosciuto.
","Anaconda gigante:
Non ancora mangiato. Sapore sconosciuto.
"
0x3457,"Anaconda gigante:
Non ancora mangiato. Pare sia saporito.
","Anaconda gigante:
Non ancora mangiato. Pare sia saporito.
"
0x3492,"Anaconda gigante:
Piuttosto saporito.
","Anaconda gigante:
Piuttosto saporito.
"
0x34b9,"Anaconda gigante catturato vivo:
Non ancora mangiato. Sapore sconosciuto.
","Anaconda gigante catturato vivo:
Non ancora mangiato. Sapore sconosciuto.
"
0x3504,"Anaconda gigante catturato vivo:
Non ancora mangiato. Pare sia piuttosto saporito.
","Anaconda gigante catturato vivo:
Non ancora mangiato. Pare sia piuttosto saporito.
"
0x3558,"Anaconda gigante catturato vivo:
Piuttosto saporito.
","Anaconda gigante catturato vivo:
Piuttosto saporito.
"
