Start Time,End Time,Lang ID,Text
13,653,[SPA],"Jack, tengo noticias importantes."
13,653,[ITA],"Jack, ho notizie importanti."
13,653,[GER],"Jack, ich habe wichtige Neuigkeiten."
13,653,[FRE],"Jack, j'ai une nouvelle importante."
13,653,[ENG],"Jack, I've got some important news."
766,1685,[SPA],"El jefe de la CIA por fin nos ha dado luz
verde"
766,1685,[ITA],"Il capo della CIA ci ha finalmente dato il
via libera"
766,1685,[GER],Der CIA-Chef hat uns endlich grünes Licht
766,1685,[FRE],"Le chef de la CIA nous a enfin donné le
feu vert"
766,1685,[ENG],The head of the CIA has finally given us|the green light
1685,2075,[SPA],para la Misión Virtuosa.
1685,2075,[ITA],per la Missione Virtuosa.
1685,2075,[GER],"für die „Virtuose Mission"" gegeben."
1685,2075,[FRE],pour la Mission Vertueuse.
1685,2075,[ENG],for the Virtuous mission.
2075,2534,[SPA],¿Misión Virtual?
2075,2534,[ITA],Missione Virtuale?
2075,2534,[GER],Virtuelle Mission?
2075,2534,[FRE],La Mission Virtuelle ?
2075,2534,[ENG],Virtual Mission?
2549,3162,[SPA],"No, la Misión Virtuosa."
2549,3162,[ITA],"No, la Missione Virtuosa,"
2549,3162,[GER],"Nein, die „Virtuose Mission""."
2549,3162,[FRE],"Non, la Mission Vertueuse."
2549,3162,[ENG],"No, the Virtuous Mission."
3162,3816,[SPA],"El futuro de nuestra unidad FOX, depende
de ella."
3162,3816,[ITA],"da cui dipende il futuro della nostra unità
FOX."
3162,3816,[GER],"Davon hängt die Zukunft unserer
FOX-Einheit ab."
3162,3816,[FRE],L'avenir de l'unité FOX en dépend.
3162,3816,[ENG],The future of our FOX unit depends on it.
3831,4764,[SPA],"Si resulta exitosa, pasaremos a formar una
unidad."
3831,4764,[ITA],"Se riesce, diventeremo una unità ufficiale."
3831,4764,[GER],"Wenn der Einsatz erfolgreich ist, werden
wir offiziell zu einer Einheit."
3831,4764,[FRE],"Si c'est un succès, l'unité sera reconnue
officiellement."
3831,4764,[ENG],"If it succeeds, we'll be officially organized|into a unit."
4778,5321,[SPA],¿Misión Virtuosa?
4778,5321,[ITA],Missione Virtuosa?
4778,5321,[GER],"„Virtuose Mission""?"
4778,5321,[FRE],Une mission vertueuse ?
4778,5321,[ENG],Virtuous mission?
5349,6226,[SPA],"Qué es, una primera prueba."
5349,6226,[ITA],Fa pensare a un rituale di iniziazione.
5349,6226,[GER],Hört sich nach einem Aufnahmeritual an.
5349,6226,[FRE],On dirait un de ces rituels initiatiques.
5349,6226,[ENG],Sounds like some kind of initiation ritual.
6255,7049,[SPA],"No seas tan listillo. No es una operación
de entrenamiento."
6255,7049,[ITA],"Non fare l'arrogante. Non è un
addestramento."
6255,7049,[GER],"Werde nicht frech. Das hier ist keine
Übung."
6255,7049,[FRE],"Fais pas le malin. Tu n'es plus à
l'entraînement."
6255,7049,[ENG],Don't get cocky. This isn't a training op.
7133,7467,[SPA],"Bien, y entonces,"
7133,7467,[ITA],Bene.
7133,7467,[GER],Okay.
7133,7467,[FRE],OK.
7133,7467,[ENG],Right.
7551,8414,[SPA],¿de qué trata esta maravillosa misión?
7551,8414,[ITA],"Che cos'è di preciso questa missione
fantastica?"
7551,8414,[GER],"Worum handelt es sich dann bei diesem
tollen Einsatz?"
7551,8414,[FRE],"Alors, c'est quoi exactement, cette
merveilleuse mission ?"
7551,8414,[ENG],"So, what exactly is this wonderful|mission?"
8456,8734,[SPA],Bien...
8456,8734,[ITA],Be'...
8456,8734,[GER],Nun ...
8456,8734,[FRE],Eh bien...
8456,8734,[ENG],Well...
9097,9891,[SPA],"Hace más o menos dos años,"
9097,9891,[ITA],"Circa due anni fa,"
9097,9891,[GER],Vor etwa zwei Jahren
9097,9891,[FRE],"Il y a 2 ans environ,"
9097,9891,[ENG],About two years ago
9933,10977,[SPA],"cierto científico soviético pidió asilo en
Occidente"
9933,10977,[ITA],"uno scienziato sovietico chiese asilo
all'Ovest"
9933,10977,[GER],"ersuchte ein gewisser sowjetischer
Wissenschaftler durch einen"
9933,10977,[FRE],"un scientifique soviétique a demandé l'asile
politique à l'Ouest,"
9933,10977,[ENG],a certain Soviet scientist requested|asylum in the West
10978,11632,[SPA],a través de uno de nuestros espías.
10978,11632,[ITA],tramite un nostro infiltrato.
10978,11632,[GER],unserer Maulwürfe Asyl im Westen.
10978,11632,[FRE],via l'un de nos espions.
10978,11632,[ENG],through one of our moles.
11897,12760,[SPA],"Su nombre es Nikolai Stepanovich
Sokolov."
11897,12760,[ITA],Si chiama Nikolai Stepanovich Sokolov.
11897,12760,[GER],Er heißt Nikolai Stepanovich Sokolov.
11897,12760,[FRE],"C'était Nikolai Stepanovich Sokolov,"
11897,12760,[ENG],His name is Nikolai Stepanovich Sokolov.
12887,13945,[SPA],"Es el máximo responsable de la Oficina de
Diseño OKB-754, una de las oficinas"
12887,13945,[ITA],"È il capo dell'Ufficio di progettazione
OKB-754,"
12887,13945,[GER],"Er leitet das Konstruktionsbüro OKB-754,"
12887,13945,[FRE],"le chef du Bureau de design OKB-754,"
12887,13945,[ENG],"He's head of the OKB-754|Design Bureau,"
13945,14975,[SPA],"soviéticas de diseño armamentístico más
secretas"
13945,14975,[ITA],"uno degli impianti di ricerca di armi
top-secret sovietici,"
13945,14975,[GER],"eine der geheimsten
Waffen-Forschungseinrichtungen der
Sowjets."
13945,14975,[FRE],"un atelier de conception d'armement
soviétique top-secret."
13945,14975,[ENG],"one of the Soviets' top-secret|weapon research facilities,"
14990,15979,[SPA],"y la más especializada del Este en el
desarrollo de armas."
14990,15979,[ITA],"e il maggiore esperto dell'Est di sviluppo
degli armamenti."
14990,15979,[GER],"Er ist der Waffenentwicklungsexperte des
Ostblocks."
14990,15979,[FRE],"C'est aussi l'expert en armement le plus
respecté du bloc Est."
14990,15979,[ENG],and the East's foremost expert|on weapons development.
15993,16982,[SPA],"Sokolov... ¿no es el famoso científico
espacial?"
15993,16982,[ITA],"Sokolov... Non è lui il famoso scienziato
del razzo?"
15993,16982,[GER],"Sokolov ... ist er nicht der berühmte
Raketenwissenschaftler?"
15993,16982,[FRE],"Sokolov... Le célèbre spécialiste en
aérospatiale ?"
15993,16982,[ENG],Sokolov...isn't he that famous rocket|scientist?
16983,17359,[SPA],El mismo.
16983,17359,[ITA],Proprio lui.
16983,17359,[GER],Genau der.
16983,17359,[FRE],Exactement.
16983,17359,[ENG],The very same.
17665,18417,[SPA],"El 12 de abril de 1.961,"
17665,18417,[ITA],"Il 12 aprile 1961,"
17665,18417,[GER],Am 12. April 1961
17665,18417,[FRE],"Le 12 avril 1961,"
17665,18417,[ENG],"On April 12, 1961,"
18418,19657,[SPA],"los soviéticos consiguieron el primer vuelo
espacial tripulado de la historia."
18418,19657,[ITA],"i sovietici mandarono nello spazio il primo
equipaggio umano."
18418,19657,[GER],"gelang den Sowjets der erste bemannte
Raumflug der Geschichte."
18418,19657,[FRE],les Soviétiques ont réussi le premier vol|spatial humain.
18418,19657,[ENG],the Soviets achieved the first manned|space flight in history.
19741,20785,[SPA],"La Tierra era azul, pero no había ningún
Dios."
19741,20785,[ITA],La Terra era blu. Ma non c'era nessun Dio.
19741,20785,[GER],"Die Erde war blau. Doch es gab keinen
Gott."
19741,20785,[FRE],"La Terre était bleue, mais Dieu n'existait
plus."
19741,20785,[ENG],The Earth was blue.|But there was no God.
20814,21134,[SPA],Eso es.
20814,21134,[ITA],Esattamente.
20814,21134,[GER],Wohl gesprochen.
20814,21134,[FRE],Exactement.
20814,21134,[ENG],Well spoken.
21204,22374,[SPA],"El cohete que llevó a Yuri Gagarin al
espacio era el A1,"
21204,22374,[ITA],"Il razzo che trasportò Yuri Gagarin in
orbita era l'A1,"
21204,22374,[GER],"Die Rakete, mit der Juri Gagarin in die
Erdumlaufbahn flog, war die A1,"
21204,22374,[FRE],"La fusée qui transportait Yuri Gagarin en
orbite, c'est l'A1,"
21204,22374,[ENG],"The rocket that carried Yuri Gagarin|into orbit was the A1,"
22374,23070,[SPA],también conocido como el cohete Vostok.
22374,23070,[ITA],soprannominato il razzo Vostok.
22374,23070,[GER],die so genannte Vostok-Rakete.
22374,23070,[FRE],mieux connu sous le nom de fusée Vostok.
22374,23070,[ENG],known as the Vostok rocket.
23196,24031,[SPA],Se dice que el máximo responsable
23196,24031,[ITA],Pare che si debba a Sokolov l'impiego
23196,24031,[GER],"Es heißt, Sokolov habe entscheidend"
23196,24031,[FRE],"On dit que Sokolov est à l'origine du
système"
23196,24031,[ENG],Sokolov is said to be the man|most responsible
24032,25007,[SPA],"del sistema racimo multi motor del cohete
fue Sokolov."
24032,25007,[ITA],del plurimotore in parallelo su quel razzo.
24032,25007,[GER],"an der Entwicklung der Triebwerkgruppe
der Rakete mitgearbeitet."
24032,25007,[FRE],multi-moteurs utilisé dans cette fusée.
24032,25007,[ENG],for the multi-engine cluster|used in that rocket.
25230,26567,[SPA],"Tras el vuelo de Gagarin, Sokolov
abandonó el proyecto"
25230,26567,[ITA],"Dopo il volo di Gagarin, Sokolov lasciò lo
sviluppo dei razzi"
25230,26567,[GER],"Nach Gagarins Flug wechselte Sokolov
von der Raketenentwicklung"
25230,26567,[FRE],"Après le vol de Gagarin, Sokolov a
abandonné le développement des fusées"
25230,26567,[ENG],"After Gagarin's flight,|Sokolov left rocket development"
26596,27710,[SPA],"de los cohetes para convertirse en el
responsable de la oficina de diseño."
26596,27710,[ITA],"e diventò capo del nuovo Ufficio di
progettazione."
26596,27710,[GER],"zum neuen Konstruktionsbüro, dessen
Leitung er übernahm."
26596,27710,[FRE],"pour diriger ce Bureau de design
nouvellement établi."
26596,27710,[ENG],to become the head of the newly|established Design Bureau.
27738,28601,[SPA],"Pasó de ser un técnico a responsable de
una nueva oficina de diseño de armas."
27738,28601,[ITA],"Da semplice tecnico a capo di un Ufficio di
progettazione."
27738,28601,[GER],"Von einem einfachen Techniker zum Leiter
eines Konstruktionsbüros."
27738,28601,[FRE],"D'un poste de technicien à la présidence
d'un Bureau de design."
27738,28601,[ENG],From a lowly technician to head|of a Design Bureau.
28602,29549,[SPA],"Menudo ascenso. ¿Y por qué querría
desertar?"
28602,29549,[ITA],"Un bel salto di qualità. Perché mai volle
disertare?"
28602,29549,[GER],"Eine richtige Erfolgsgeschichte. Warum will
er dann die Fronten wechseln?"
28602,29549,[FRE],"Une sacrée promotion. Pourquoi vouloir
s'enfuir ?"
28602,29549,[ENG],That's quite a success story.|So why'd he want to defect?
29563,30482,[SPA],"Al parecer, sus propias creaciones le
dieron miedo."
29563,30482,[ITA],"Sembra che avesse paura delle sue stesse
creazioni."
29563,30482,[GER],"Es scheint als fürchte er sich vor den
Früchten seines eigenen Werkes."
29563,30482,[FRE],"A croire que ses propres créations
l'effrayaient."
29563,30482,[ENG],It seems he'd become afraid of|his own creations.
30580,31011,[SPA],¿Miedo?
30580,31011,[ITA],Paura?
30580,31011,[GER],Fürchten?
30580,31011,[FRE],L'effrayaient ?
30580,31011,[ENG],Afraid?
31054,31680,[SPA],Le dio como una crisis de conciencia...
31054,31680,[ITA],Chiamala pure crisi di coscienza.
31054,31680,[GER],Nennen wir es eine Gewissenskrise.
31054,31680,[FRE],"Disons que c'était une crise de
conscience."
31054,31680,[ENG],Call it a crisis of conscience.
31695,32948,[SPA],"¿Y por eso abandonó su país y a su
familia, y cambió de bando?"
31695,32948,[ITA],"Per questo lasciò il suo Paese e la sua
famiglia e passò dall'altra parte?"
31695,32948,[GER],"Und darum verließ er Land und Familie
und floh in den Westen?"
31695,32948,[FRE],"Il a donc abandonné son pays et sa famille
pour rejoindre l'ennemi?"
31695,32948,[ENG],"And for that, he left his country and his|family behind and went over the fence?"
32963,33227,[SPA],No exactamente.
32963,33227,[ITA],Non proprio.
32963,33227,[GER],Nicht ganz.
32963,33227,[FRE],Pas tout à fait.
32963,33227,[ENG],Not exactly.
33241,34592,[SPA],"Pidió que su familia también fuera
transportada sana y salva a Occidente."
33241,34592,[ITA],"Pose la condizione che anche la sua
famiglia fosse trasferita all'Ovest."
33241,34592,[GER],"Er forderte, dass auch seiner Familie die
Flucht ermöglicht würde."
33241,34592,[FRE],"Une de ses conditions était que sa famille
devait le rejoindre à l'Ouest."
33241,34592,[ENG],One of his conditions was that his family|was also to be taken safely to the West.
34593,35289,[SPA],"Antes de nada, utilizamos un espía para
sacar a su familia,"
34593,35289,[ITA],"Noi usammo un infiltrato per fare uscire la
famiglia per prima,"
34593,35289,[GER],Dabei half uns ein Maulwurf.
34593,35289,[FRE],"Un de nos espions a d'abord transféré sa
famille."
34593,35289,[ENG],"We used a mole to get the family|out first,"
35289,36542,[SPA],"y poco después, fue el turno de Sokolov, a
través del muro de Berlín."
35289,36542,[ITA],"e poco dopo riuscimmo a fare oltrepassare
a Sokolov il Muro di Berlino."
35289,36542,[GER],"Sokolov kam kurz darauf heimlich über die
Berliner Mauer."
35289,36542,[FRE],"Peu de temps après, il a aidé Sokolov à
traverser le mur de Berlin."
35289,36542,[ENG],and succeeded in sneaking Sokolov over|the Berlin Wall shortly afterwards.
36738,37671,[SPA],Yo fui el responsable de la operación.
36738,37671,[ITA],L'operazione la condussi io.
36738,37671,[GER],Ich leitete diesen Einsatz.
36738,37671,[FRE],C'était moi qui dirigeais les opérations.
36738,37671,[ENG],I was the one who conducted|the operation.
37713,38869,[SPA],"Por aquel entonces, las medidas de
seguridad del Este dejaban mucho"
37713,38869,[ITA],"Allora la sorveglianza sul lato orientale era
piuttosto scadente."
37713,38869,[GER],"Damals war die Sicherheit im Osten noch
nicht so nahtlos wie heute."
37713,38869,[FRE],"A l'époque, la sécurité à l'est du mur
laissait encore à désirer."
37713,38869,[ENG],The security on the eastern side|was still full of holes back then.
38870,39204,[SPA],que desear. ¿Y luego qué?
38870,39204,[ITA],E poi?
38870,39204,[GER],Und dann?
38870,39204,[FRE],Et après ?
38870,39204,[ENG],Then what?
39232,39858,[SPA],"Tras conseguir que Sokolov llegara en una
sola pieza,"
39232,39858,[ITA],"Riuscimmo a fare passare Sokolov sano e
salvo,"
39232,39858,[GER],"Wir bekamen Sokolov sicher rüber,"
39232,39858,[FRE],"Sokolov était vivant,"
39232,39858,[ENG],"We got Sokolov over in one piece, "
39859,40583,[SPA],tuvimos que ingresarle en un hospital
39859,40583,[ITA],ma l'impresa lo aveva sfinito
39859,40583,[GER],"aber durch die Strapazen war er erschöpft,"
39859,40583,[FRE],mais cet enfer l'avait quasiment anéanti.
39859,40583,[ENG],"but the whole ordeal had left him|exhausted,"
40583,41363,[SPA],de Oeste de Berlín. Estaba agotado.
40583,41363,[ITA],"e lo facemmo ricoverare in un ospedale di
Berlino Ovest."
40583,41363,[GER],"sodass wir ihn in ein Krankenhaus in
Westberlin brachten."
40583,41363,[FRE],"Nous l'avons donc transféré dans un
hôpital de Berlin Ouest."
40583,41363,[ENG],and we checked him into a hospital|in West Berlin.
41377,42101,[SPA],"Tardó dos semanas en recorrer los 1.000
kilómetros"
41377,42101,[ITA],"Ci mise due settimane e più di 1000
chilometri"
41377,42101,[GER],"Er hatte über 1000 km in zwei Wochen
zurückgelegt,"
41377,42101,[FRE],"Il avait mis 2 semaines à parcourir les
1000 km"
41377,42101,[ENG],It took him two weeks and more than|600 miles
42102,43119,[SPA],"que separan la oficina de diseño de la
Unión Soviética, de Berlín."
42102,43119,[ITA],"per raggiungere Berlino dall'impianto di
ricerca in Unione Sovietica."
42102,43119,[GER],"um vom Forschungslabor in der
Sowjetunion nach Berlin zu gelangen."
42102,43119,[FRE],"entre le Bureau de design en Union
Soviétique et Berlin."
42102,43119,[ENG],to get from the research facility|in the Soviet Union to Berlin.
43119,43968,[SPA],No era capaz de decir nada coherente.
43119,43968,[ITA],Non riusciva a dire niente di sensato.
43119,43968,[GER],"In seinem Zustand konnte er keine
zusammenhängenden Aussagen machen."
43119,43968,[FRE],"Une fois arrivé, son discours était
incohérent."
43119,43968,[ENG],He was in no condition to say anything|coherent.
44206,44805,[SPA],"Y tan sólo una semana después,"
44206,44805,[ITA],E fu solo una settimana dopo
44206,44805,[GER],Und nur eine Woche später
44206,44805,[FRE],"Et pas plus d'une semaine plus tard,"
44206,44805,[ENG],And it was only a week later
44805,45585,[SPA],"había un problema mucho más grave del
cual ocuparnos."
44805,45585,[ITA],"che ci ritrovammo qualcosa di molto più
grande tra le mani."
44805,45585,[GER],"mussten wir uns mit einer viel ernsteren
Angelegenheit befassen."
44805,45585,[FRE],"un autre coup, bien plus fort celui-ci, nous
tombait sur la tête."
44805,45585,[ENG],that we had something much bigger|on our hands.
45710,46406,[SPA],La crisis de los misiles cubanos...
45710,46406,[ITA],La Crisi dei Missili Cubani...
45710,46406,[GER],Der Kubakrise ...
45710,46406,[FRE],La crise des missiles de Cuba...
45710,46406,[ENG],The Cuban Missile Crisis...
46574,47354,[SPA],16 de Octubre de 1.962.
46574,47354,[ITA],16 ottobre 1962.
46574,47354,[GER],Am 16. Oktober 1962
46574,47354,[FRE],Le 16 octobre 1962.
46574,47354,[ENG],"October 16, 1962."
47354,48315,[SPA],"El presidente Kennedy recibe noticias
sobre un despliegue de misiles"
47354,48315,[ITA],"Il Presidente Kennedy venne a sapere che
i sovietici stavano"
47354,48315,[GER],"erfuhr Präsident Kennedy, dass die
Sowjets Mittelstreckenraketen"
47354,48315,[FRE],"Le président Kennedy a été informé que
les Soviétiques étaient sur le point"
47354,48315,[ENG],President Kennedy received word|that the Soviets were in the process
48316,49458,[SPA],"balísticos de medio alcance en Cuba, por
parte de fuerzas Soviéticas."
48316,49458,[ITA],"spiegando dei missili balistici a portata
intermedia a Cuba."
48316,49458,[GER],in Kuba stationierten.
48316,49458,[FRE],"de déployer des missiles balistiques à
moyenne portée à Cuba."
48316,49458,[ENG],of deploying intermediate-range|ballistic missiles in Cuba.
49695,50433,[SPA],"El Presidente exigió a los Soviéticos la
desmantelación"
49695,50433,[ITA],"Il Presidente chiese ai sovietici di
smantellare"
49695,50433,[GER],"Der Präsident verlangte, dass die Sowjets
die Raketen abbauten"
49695,50433,[FRE],Le président a exigé le démantèlement et
49695,50433,[ENG],The President demanded that|the Soviets dismantle
50433,50920,[SPA],y la eliminación de los misiles.
50433,50920,[ITA],"e rimuovere i missili e,"
50433,50920,[GER],und von der Insel entfernten.
50433,50920,[FRE],le retrait des missiles soviétiques.
50433,50920,[ENG],and remove the missiles.
50921,51617,[SPA],"Al mismo tiempo, anunció un bloqueo
naval"
50921,51617,[ITA],"allo stesso tempo, annunciò un blocco
navale"
50921,51617,[GER],"Gleichzeitig verhängte er eine
Seeblockade,"
50921,51617,[FRE],"Au même moment, il a annoncé un
blocus maritime"
50921,51617,[ENG],"At the same time, he announced|a naval blockade"
51617,52494,[SPA],"para evitar que más barcos con misiles
llegaran a Cuba."
51617,52494,[ITA],"per impedire l'arrivo a Cuba di altre navi
con i missili."
51617,52494,[GER],"die weitere Raketenlieferungen an Kuba
verhindern sollte."
51617,52494,[FRE],"pour empêcher toute autre livraison de
missiles à Cuba."
51617,52494,[ENG],to prevent further missile shipments|from reaching Cuba.
52593,53122,[SPA],"Pero los Soviéticos ignoraron sus órdenes,"
52593,53122,[ITA],"Ma i sovietici non si arresero, anzi,"
52593,53122,[GER],Doch die Sowjets gaben nicht nach.
52593,53122,[FRE],Mais les Soviétiques n'ont pas reculé.
52593,53122,[ENG],"But the Soviets didn't back down,"
53122,54027,[SPA],"anunciando el estado de alerta entre sus
tropas."
53122,54027,[ITA],"misero le loro forze armate in stato di
allerta secondaria"
53122,54027,[GER],"Sie versetzten ihre Truppen in sekundäre
Alarmbereitschaft."
53122,54027,[FRE],"Ils ont préféré mettre leur armée en alerte
renforcée."
53122,54027,[ENG],instead placing their armed forces|on secondary alert.
54028,55212,[SPA],"Los barcos soviéticos que transportaban
misiles continuaron su viaje hacia Cuba."
54028,55212,[ITA],"e le navi che trasportavano i missili
proseguirono la rotta verso Cuba."
54028,55212,[GER],"Mit Raketen beladene Sowjetschiffe
setzten ihre Fahrt nach Kuba fort."
