0x78,"PERSONAL DATA [1/1]

CODENAME:THE BOSS
SEX:FEMALE
AGE:UNKNOWN
NATIONALITY:U.S.A
BIRTHDATE:UNKNOWN
BIRTHPLACE:UNKNOWN
ADDRESS:UNKNOWN
","PERSONAL DATA [1/1]

CODENAME:THE BOSS
SEX:FEMALE
AGE:UNKNOWN
NATIONALITY:U.S.A
BIRTHDATE:UNKNOWN
BIRTHPLACE:UNKNOWN
ADDRESS:UNKNOWN
"
0xfe,"PERSONAL DATA [1/2]

CODENAME:THE BOSS
SEX:FEMALE
AGE:UNKNOWN
NATIONALITY:U.S.A
BIRTHDATE:UNKNOWN
BIRTHPLACE:UNKNOWN
ADDRESS:UNKNOWN
","PERSONAL DATA [1/2]

CODENAME:THE BOSS
SEX:FEMALE
AGE:UNKNOWN
NATIONALITY:U.S.A
BIRTHDATE:UNKNOWN
BIRTHPLACE:UNKNOWN
ADDRESS:UNKNOWN
"
0x184,"PERSONAL DATA [2/2]

HEIGHT:5% 10~
WEIGHT:UNKNOWN
HAIR:BROWNISH GREY
EYE:BLUE
VOICE:LORI ALAN
MTN ACTR:ERIKO HIRATA
BLOOD TYPE:UNKNOWN
","PERSONAL DATA [2/2]

HEIGHT:5% 10~
WEIGHT:UNKNOWN
HAIR:BROWNISH GREY
EYE:BLUE
VOICE:LORI ALAN
MTN ACTR:ERIKO HIRATA
BLOOD TYPE:UNKNOWN
"
0x20c,"The techniques themselves - the strikes
and the throws - are only one aspect of
CQC.
","The techniques themselves - the strikes
and the throws - are only one aspect of
CQC.
"
0x262,"In order to make those techniques work,
it's essential to have a strong body as
well.
","In order to make those techniques work,
it's essential to have a strong body as
well.
"
0x2b9,"But the most important tools in CQC
are your wits -
","But the most important tools in CQC
are your wits -
"
0x2ee,"the ability to instantly comprehend and
analyze the enemy's behavior and
psychological condition
","the ability to instantly comprehend and
analyze the enemy's behavior and
psychological condition
"
0x350,"to determine your actions. In short...
","to determine your actions. In short...
"
0x378,"Mind, body and technique.
","Mind, body and technique.
"
0x393,"That's right. CQC can only be used
effectively when all three of those
elements are combined.
","That's right. CQC can only be used
effectively when all three of those
elements are combined.
"
0x3f2,"Sounds like some sort of oriental
martial art.
","Sounds like some sort of oriental
martial art.
"
0x422,"It does, doesn't it? Anyway, it's not
something that's easily taught or easily
mastered.
","It does, doesn't it? Anyway, it's not
something that's easily taught or easily
mastered.
"
0x47c,"It takes rigorous training and years of
experience to learn it.
","It takes rigorous training and years of
experience to learn it.
"
0x4bd,"You helped create it, and you're the only
one who can use it.
","You helped create it, and you're the only
one who can use it.
"
0x4fc,"Except you, right?
","Except you, right?
"
0x510,"...Yeah.
","...Yeah.
"
0x51a,"Las técnicas en sí, los golpes y los empujones,
son sólo una parte del CQC.
","Las técnicas en sí, los golpes y los empujones,
son sólo una parte del CQC.
"
0x56a,"Para que esas técnicas funcionen, hace falta
estar en buen estado físico.
","Para que esas técnicas funcionen, hace falta
estar en buen estado físico.
"
0x5b7,"Pero lo más importante en CQC es tu ingenio,
","Pero lo más importante en CQC es tu ingenio,
"
0x5e6,"la habilidad de comprender y analizar
rápidamente el comportamiento del enemigo y
la condición física
","la habilidad de comprender y analizar
rápidamente el comportamiento del enemigo y
la condición física
"
0x650,"para determinar y adelantar así sus acciones.
Resumiendo...
","para determinar y adelantar así sus acciones.
Resumiendo...
"
0x68e,"Mente, cuerpo y técnica.
","Mente, cuerpo y técnica.
"
0x6a9,"Eso es. Sólo podrás utilizar eficazmente el
CQC combinando esos tres elementos.
","Eso es. Sólo podrás utilizar eficazmente el
CQC combinando esos tres elementos.
"
0x6fc,"Parecido a las artes marciales orientales.
","Parecido a las artes marciales orientales.
"
0x728,"Sí, ¿verdad? Pues bueno, no se puede ni
enseñar ni aprender fácilmente.
","Sí, ¿verdad? Pues bueno, no se puede ni
enseñar ni aprender fácilmente.
"
0x775,"Para aprenderlo, hacen falta años de
entrenamiento y experiencia.
","Para aprenderlo, hacen falta años de
entrenamiento y experiencia.
"
0x7b9,"Tú me ayudaste a crearlo y eres el único que
lo puede usar.
","Tú me ayudaste a crearlo y eres el único que
lo puede usar.
"
0x7f8,"Excepto tú, ¿no?
","Excepto tú, ¿no?
"
0x80c,"... Sí.
","... Sí.
"
