Start Time,End Time,Lang ID,Text
0,738,[ENG],"So, how does it feel to be a patient|in one of the most advanced"
0,738,[FRE],"Alors, ça fait quoi d'être dans un des
services de soins intensifs"
0,738,[GER],"Nun, wie fühlt man sich so als Patient
einer der modernsten"
0,738,[ITA],"Allora, come ci si sente da paziente in uno
dei reparti di rianimazione"
0,738,[SPA],"Bueno, ¿y cómo se siente uno siendo
paciente de una de las"
738,1225,[ENG],ICUs in the world?
738,1225,[FRE],les plus modernes au monde?
738,1225,[GER],Intensivstationen der Welt?
738,1225,[ITA],più avanzati del mondo?
738,1225,[SPA],UCIs más avanzadas del mundo?
1226,2159,[ENG],Would you do me a favor and tell|the suits about visiting hours?
1226,2159,[FRE],"Pourriez-vous demander aux huiles de
respecter les horaires de visite?"
1226,2159,[GER],"Tun Sie mir einen Gefallen? Teilen Sie
diesen Typen die Besuchszeiten mit!"
1226,2159,[ITA],"Può farmi un favore e comunicare ai
signori gli orari di visita?"
1226,2159,[SPA],"¿Podrías por favor recordarles a esos
uniformados que hay horas de visita?."
2159,2716,[ENG],I'll never get better with them|assaulting me
2159,2716,[FRE],Je ne me remettrai jamais sur pied s'ils
2159,2716,[GER],"Ich erhole mich nie, wenn sie mich"
2159,2716,[ITA],"Non mi riprenderò mai se continuano ad
assalirmi"
2159,2716,[SPA],"Con tantas preguntas,"
2716,3370,[ENG],day and night with their questions.
2716,3370,[FRE],me harcèlent constamment de questions.
2716,3370,[GER],"weiter Tag und Nacht mit ihren Fragen
bombardieren."
2716,3370,[ITA],giorno e notte con le domande.
2716,3370,[SPA],no me voy a recuperar nunca.
3594,4318,[ENG],Must be part of the top brass' inquiry.
3594,4318,[FRE],Ça fait partie de leur enquête.
3594,4318,[GER],"Gehört wohl zum VIP-Verfahren der
Untersuchung."
3594,4318,[ITA],"Deve far parte dell'inchiesta degli alti
ufficiali."
3594,4318,[SPA],"Será para redactar un informe a los
Jefazos."
4318,4847,[ENG],More like an interrogation.
4318,4847,[FRE],Vous voulez dire de leur interrogatoire.
4318,4847,[GER],Es ist mehr wie ein Verhör.
4318,4847,[ITA],"Un interrogatorio, piuttosto."
4318,4847,[SPA],"¡Qué va!, es un interrogatorio en toda
regla."
4848,6143,[ENG],"According to them, I'm a traitor and|an accomplice to The Boss' defection."
4848,6143,[FRE],"Ils croient que je suis un traître qui a
aidé The Boss dans son transfuge."
4848,6143,[GER],"Für Sie bin ich ein Verräter, der The Boss
half, zum Feind überzulaufen."
4848,6143,[ITA],"Secondo loro, sono un traditore e un
complice della diserzione di The Boss."
4848,6143,[SPA],"Según ellos, soy un traidor y cómplice de
la deserción de The Boss."
6311,6882,[ENG],They're just looking for a scapegoat.
6311,6882,[FRE],"Ils cherchent un bouc émissaire, c'est tout."
6311,6882,[GER],Sie suchen nur einen Sündenbock.
6311,6882,[ITA],Cercano solo un capro espiatorio.
6311,6882,[SPA],Están buscando una cabeza de turco.
6896,7634,[ENG],"Does that mean they're after you, too?"
6896,7634,[FRE],"Alors est-ce qu'ils vous traquent, vous
aussi?"
6896,7634,[GER],"Heißt das, Sie sind auch hinter ihnen her?"
6896,7634,[ITA],Quindi stanno dietro anche a Lei?
6896,7634,[SPA],"¿Tú también estás en su punto de
mira?"
7857,8943,[ENG],Let's just say neither one of us is going|to be made a national hero out of this.
7857,8943,[FRE],"Disons que ni toi ni moi ne deviendrons
des héros nationaux dans cette affaire."
7857,8943,[GER],"Sagen wir mal so: Keiner von uns wird
durch diese Geschichte zum Volkshelden."
7857,8943,[ITA],"Diciamo che nessuno di noi diventerà un
eroe nazionale per questo."
7857,8943,[SPA],"Seamos realistas, a ninguno de los dos
nos van a dar la medalla al honor."
8986,9738,[ENG],Does this mean FOX is going to die?
8986,9738,[FRE],Cela veut dire que FOX va mourir?
8986,9738,[GER],Wird FOX dann untergehen?
8986,9738,[ITA],Significa che l'unità FOX finirà?
8986,9738,[SPA],"¿Quiere decir qué éste es el final de
FOX?"
9752,9988,[ENG],No.
9752,9988,[FRE],Non.
9752,9988,[GER],Nein.
9752,9988,[ITA],No.
9752,9988,[SPA],No.
10003,10783,[ENG],This fox is still one step ahead|of the hounds.
10003,10783,[FRE],"Le renard est toujours en avance sur la
meute."
10003,10783,[GER],"So schnell lässt sich FOX nicht
unterkriegen."
10003,10783,[ITA],"Questa volpe sta ancora un passo avanti
ai cani."
10003,10783,[SPA],"Este zorro no ha dado todavía su último
alarido."
10783,11396,[ENG],The reason I came to see you today...
10783,11396,[FRE],"Si je suis venu te voir aujourd'hui, Jack..."
10783,11396,[GER],Warum ich heute hier bin ...
10783,11396,[ITA],"Il motivo per cui oggi sono venuto a
trovarti..."
10783,11396,[SPA],Hoy he venido a verte porque...
11424,12301,[ENG],"Jack, it's time for FOX to clear its name."
11424,12301,[FRE],"C'est qu'il est temps de redorer le blason
de FOX."
11424,12301,[GER],"Jack, es ist an der Zeit, dass FOX seinen
Namen reinwäscht."
11424,12301,[ITA],"Jack, è ora che FOX cancelli il suo nome."
11424,12301,[SPA],"Jack, FOX tiene que limpiar su honra y su
nombre."
12301,12746,[ENG],What are you talking about?
12301,12746,[FRE],Qu'est ce que vous voulez dire par là?
12301,12746,[GER],Was meinen Sie damit?
12301,12746,[ITA],Ma di cosa parla?
12301,12746,[SPA],¿De qué estás hablando?
12747,13206,[ENG],The situation has changed.
12747,13206,[FRE],La situation a changé.
12747,13206,[GER],Die Lage hat sich verändert.
12747,13206,[ITA],La situazione è cambiata.
12747,13206,[SPA],La situación ha cambiado.
13207,13820,[ENG],We've still got a chance to come|out of this one alive.
13207,13820,[FRE],"Nous avons encore une chance de nous
tirer vivants de là."
13207,13820,[GER],"Noch können wir uns aus dieser Bredouille
befreien."
13207,13820,[ITA],"Abbiamo ancora una possibilità di uscirne
vivi."
13207,13820,[SPA],"Todavía nos queda una oportunidad de
salir de ésta con vida."
13820,14265,[ENG],Yeah? What kind of chance?
13820,14265,[FRE],"Ah ouais? Et c'est quoi, cette chance?"
13820,14265,[GER],"Ach ja, und wie stehen unsere Chancen?"
13820,14265,[ITA],Ah sì? Che tipo di possibilità?
13820,14265,[SPA],¿Sí? ¿Qué oportunidad?
14266,14711,[ENG],Don't get too excited.
14266,14711,[FRE],Garde ton calme.
14266,14711,[GER],Mach dir nicht allzu viel Hoffnung.
14266,14711,[ITA],Non scaldarti troppo.
14266,14711,[SPA],No te excites demasiado.
14990,16020,[ENG],"Here, have a cigar...it's Cuban."
14990,16020,[FRE],"Tiens, prends un cigare... c'est un Cubain."
14990,16020,[GER],"Hier, nimm. Eine kubanische Zigarre."
14990,16020,[ITA],"Tieni, prendi un sigaro...è un cubano."
14990,16020,[SPA],"Toma, un puro... es cubano."
18027,18848,[ENG],"This morning, I had a meeting|with the CIA."
18027,18848,[FRE],"Ce matin, j'ai eu une réunion avec la CIA."
18027,18848,[GER],"Heute Morgen hatte ich ein Treffen mit der
CIA."
18027,18848,[ITA],Stamani ho avuto un incontro con la CIA.
18027,18848,[SPA],"Esta mañana, he mantenido una reunión
con la CIA."
18863,19545,[ENG],They decided when they're going to|execute us?
18863,19545,[FRE],Ils ont décidé de nous faire exécuter?
18863,19545,[GER],"Haben sie schon einen Hinrichtungstermin
für uns ausgesucht?"
18863,19545,[ITA],"Hanno deciso la data della nostra
esecuzione?"
18863,19545,[SPA],¿Han decidido cuándo nos ejecutan?
19546,19782,[ENG],No.
19546,19782,[FRE],Non.
19546,19782,[GER],Nein.
19546,19782,[ITA],No.
19546,19782,[SPA],No.
20229,20660,[ENG],Something even bigger.
20229,20660,[FRE],Un truc plus sérieux.
20229,20660,[GER],Es ist eine noch größere Sache.
20229,20660,[ITA],Qualcosa di ancora più grosso.
20229,20660,[SPA],Una decisión mucho más grande.
