Start Time,End Time,Lang ID,Text
2633,3636,[ENG],Here is where the fun really begins!
2633,3636,[FRE],"Maintenant, on va vraiment commencer à
s'amuser!"
2633,3636,[GER],Jetzt fängt der Spaß erst richtig an.
2633,3636,[ITA],È qui che inizia il vero divertimento!
2633,3636,[SPA],¡Ahora comienza la diversión!
4709,6199,[ENG],My body carries an electric charge|of 10 million volts.
4709,6199,[FRE],"Mon corps est traversé par une tension
électrique de 10 millions de volts."
4709,6199,[GER],"Mein Körper kann Stromstöße von 10
Millionen Volt aussenden."
4709,6199,[ITA],"Il mio corpo trasporta una carica elettrica
di 10 milioni di volt."
4709,6199,[SPA],"Mi cuerpo tiene una carga eléctrica de 10
millones de voltios."
6213,6937,[ENG],Let's see how you like this!
6213,6937,[FRE],Voyons voir si cela va te plaire!
6213,6937,[GER],"Mal sehen, wie dir das gefällt!"
6213,6937,[ITA],Vediamo se questo ti piace!
6213,6937,[SPA],¡A ver si te gusta!
9501,10002,[ENG],"Now, answer me!"
9501,10002,[FRE],"Maintenant, réponds-moi?"
9501,10002,[GER],Antworte mir jetzt!
9501,10002,[ITA],Adesso rispondimi!
9501,10002,[SPA],¡Ahora contesta!
10100,10949,[ENG],How much does the CIA know?
10100,10949,[FRE],Qu'est-ce que la CIA sait au juste?
10100,10949,[GER],Wie viel weiß die CIA?
10100,10949,[ITA],Quante cose sa la CIA?
10100,10949,[SPA],¿Qué sabe la CIA?
13305,14363,[ENG],"They're after my Legacy, aren't they!?"
13305,14363,[FRE],"Ils veulent s'emparer de mon Héritage,
c'est ça?!"
13305,14363,[GER],"Sie wollen mein Erbe, nicht wahr!?"
13305,14363,[ITA],"Vogliono la mia Eredità, non è così?!"
13305,14363,[SPA],"Van tras mi Legado, ¿no?"
15269,16550,[ENG],"Your real target is the Philosophers'|Legacy, isn't it!?"
15269,16550,[FRE],"Ton véritable objectif, c'est l'Héritage des
Philosophes, c'est ça!?"
15269,16550,[GER],"Dein wahres Ziel ist das Erbe der
Philosophen, nicht wahr!?"
15269,16550,[ITA],"Il tuo vero obiettivo è l'Eredità dei Filosofi,
o sbaglio?!"
15269,16550,[SPA],"Tu verdadero objetivo es el Legado de los
Filósofos, ¿no?"
21371,21984,[ENG],"Yes, yes!"
21371,21984,[FRE],"Oui, oui!"
21371,21984,[GER],"Ja, ja!"
21371,21984,[ITA],"Sì, sì!"
21371,21984,[SPA],"¡Sí, sí!"
21998,22611,[ENG],Let yourself go!
21998,22611,[FRE],Laisse-toi aller!
21998,22611,[GER],Erleichtere dich nur!
21998,22611,[ITA],Lasciati andare!
21998,22611,[SPA],¡Ríndete!
22820,23655,[ENG],That is what I want to see!
22820,23655,[FRE],C'est exactement ce que je voulais voir!
22820,23655,[GER],Das will ich sehen!
22820,23655,[ITA],È ciò che voglio vedere!
22820,23655,[SPA],¡Eso es lo que quiero ver!
26582,27640,[ENG],It's no use. He's not going to talk.
26582,27640,[FRE],Ce n'est pas la peine. Il ne va pas parler.
26582,27640,[GER],Es nutzt nichts. Er wird nicht reden.
26582,27640,[ITA],Non serve a niente. Non parlerà.
26582,27640,[SPA],No vale la pena. No va a hablar.
28086,28810,[ENG],He's been trained not to break.
28086,28810,[FRE],Il a été formé pour ne pas parler.
28086,28810,[GER],"Er wurde darin geschult, nicht zu
sprechen."
28086,28810,[ITA],È stato addestrato a non mollare.
28086,28810,[SPA],Le han entrenado para que no hable.
29034,29591,[ENG],Trained by me.
29034,29591,[FRE],C'est moi qui l'ai formé.
29034,29591,[GER],Von mir geschult.
29034,29591,[ITA],Addestrato da me.
29034,29591,[SPA],Entrenado por mí.
30859,31862,[ENG],Admit it! You're after the location|of the Legacy!
30859,31862,[FRE],"Admets-le! Tu cherches l'emplacement de
l'Héritage!"
30859,31862,[GER],"Gib es zu! Du willst das Versteck des
Erbes finden!"
30859,31862,[ITA],"Confessa! Stai cercando il luogo dove si
trova l'Eredità!"
30859,31862,[SPA],"¡Admítelo! ¡Quieres saber dónde está el
Legado!"
32503,33450,[ENG],The secret fund established by|the three Great Powers
32503,33450,[FRE],"Le fond secret établi par les trois grandes
puissances"
32503,33450,[GER],"Des Geheimfonds, den die drei
Großmächte"
32503,33450,[ITA],"Il fondo segreto istituito dalle tre Grandi
Potenze"
32503,33450,[SPA],"Los fondos secretos que establecieron los
tres Grandes Poderes"
33464,33979,[ENG],during the two World Wars!
33464,33979,[FRE],pendant les deux Guerres mondiales!
33464,33979,[GER],"während der beiden Weltkriege
einrichteten!"
33464,33979,[ITA],durante le due Guerre Mondiali!
33464,33979,[SPA],durante las dos Guerras Mundiales.
33980,34913,[ENG],"That's what you're looking for, isn't it!?"
33980,34913,[FRE],"C'est ce que tu recherches, n'est-ce pas?"
33980,34913,[GER],"Das suchst du doch, oder!?"
33980,34913,[ITA],"È questo che stai cercando, non è così?!"
33980,34913,[SPA],"Estás buscando eso, ¿no?"
35679,36319,[ENG],"One hundred billion dollars,"
35679,36319,[FRE],"Cent milliards de dollars,"
35679,36319,[GER],"Einhundert Milliarden Dollar,"
35679,36319,[ITA],"Cento miliardi di dollari,"
35679,36319,[SPA],"Cien billones de dólares,"
36320,37350,[ENG],divided up and hidden all over the world!
36320,37350,[FRE],"divisés et cachés un peu partout dans le
monde!"
36320,37350,[GER],"aufgegliedert und über die ganze Welt
verteilt!"
36320,37350,[ITA],spartiti e nascosti in tutto il mondo!
36320,37350,[SPA],¡divididos y escondidos por todo el mundo!
38131,39203,[ENG],"And you're looking for a record of|where all that money is hidden,"
38131,39203,[FRE],"Et tu recherches des informations sur
l'endroit où cet argent a été caché,"
38131,39203,[GER],"Und du suchst Hinweise, wo all das Geld
versteckt sein könnte."
38131,39203,[ITA],"E tu cerchi il documento che dice dov'è
nascosto tutto quel denaro,"
38131,39203,[SPA],"¿Y buscas alguna pista sobre el paradero
del dinero,"
39204,39482,[ENG],right!?
39204,39482,[FRE],c'est ça!?
39204,39482,[GER],Stimmt's?
39204,39482,[ITA],vero?!
39204,39482,[SPA],no?
41127,41628,[ENG],No matter.
41127,41628,[FRE],Peu importe.
41127,41628,[GER],Aber es spielt keine Rolle.
41127,41628,[ITA],Niente da fare.
41127,41628,[SPA],No importa.
41628,42756,[ENG],"The Philosophers' Legacy is safely|in my possession,"
41628,42756,[FRE],"L'Héritage des Philosophes est en sécurité
entre mes mains,"
41628,42756,[GER],"Das Erbe der Philosophen ist bei mir
sicher,"
41628,42756,[ITA],"L'Eredità dei Filosofi è al sicuro in mano
mia,"
41628,42756,[SPA],"El Legado de los Filósofos está seguro en
mis manos,"
42757,43690,[ENG],in the underground vault of Groznyj Grad.
42757,43690,[FRE],"dans une chambre forte du sous-sol de
Groznyj Grad."
42757,43690,[GER],"im unterirdischen Verlies von Groznyj
Grad."
42757,43690,[ITA],nel sotterraneo di Groznyj Grad.
42757,43690,[SPA],en una zona subterránea de Groznyj Grad.
44317,45431,[ENG],You will never lay a finger on it!
44317,45431,[FRE],Tu ne mettras jamais les mains dessus!
